#--Loggarna från alla 5 testomgångar--

##Running networks. Run nr. 1/5. Current random seed data: 3467963 Current random seed parameters: 6842634 Global hyper-parameters: epochs = 50, mini_batch_size = 10, eta = 4.0
Epoch 40: 8492 / 10000, took 3.57 seconds
Epoch 41: 8550 / 10000, took 3.55 seconds
Epoch 42: 8453 / 10000, took 3.55 seconds
Epoch 43: 8523 / 10000, took 3.55 seconds
Epoch 44: 8571 / 10000, took 3.55 seconds
Epoch 45: 8609 / 10000, took 3.55 seconds
Epoch 46: 8511 / 10000, took 3.55 seconds
Epoch 47: 8553 / 10000, took 3.55 seconds
Epoch 48: 8512 / 10000, took 3.56 seconds
Epoch 49: 8579 / 10000, took 3.55 seconds
Final epoch completed! 
#.
(Time: 188.15060658499715)
#Network size: [784, 10, 10]
Epoch 0: 8751 / 10000, took 3.88 seconds
Epoch 1: 8932 / 10000, took 3.89 seconds
Epoch 2: 8949 / 10000, took 3.89 seconds
Epoch 3: 9047 / 10000, took 3.88 seconds
Epoch 4: 9089 / 10000, took 3.88 seconds
Epoch 5: 9108 / 10000, took 3.89 seconds
Epoch 6: 9013 / 10000, took 3.88 seconds
Epoch 7: 9071 / 10000, took 3.89 seconds
Epoch 8: 8978 / 10000, took 3.89 seconds
Epoch 9: 9112 / 10000, took 3.90 seconds
Epoch 10: 9097 / 10000, took 3.88 seconds
Epoch 11: 9144 / 10000, took 3.90 seconds
Epoch 12: 9081 / 10000, took 3.90 seconds
Epoch 13: 9147 / 10000, took 3.89 seconds
Epoch 14: 9122 / 10000, took 3.89 seconds
Epoch 15: 9098 / 10000, took 3.91 seconds
Epoch 16: 9150 / 10000, took 3.91 seconds
Epoch 17: 9110 / 10000, took 3.89 seconds
Epoch 18: 9109 / 10000, took 3.92 seconds
Epoch 19: 9037 / 10000, took 3.91 seconds
Epoch 20: 9172 / 10000, took 3.89 seconds
Epoch 21: 9122 / 10000, took 3.90 seconds
Epoch 22: 9105 / 10000, took 3.89 seconds
Epoch 23: 9118 / 10000, took 3.90 seconds
Epoch 24: 9121 / 10000, took 3.90 seconds
Epoch 25: 9162 / 10000, took 3.91 seconds
Epoch 26: 9166 / 10000, took 3.90 seconds
Epoch 27: 9156 / 10000, took 3.91 seconds
Epoch 28: 9138 / 10000, took 3.91 seconds
Epoch 29: 9077 / 10000, took 3.91 seconds
Epoch 30: 9193 / 10000, took 3.90 seconds
Epoch 31: 9169 / 10000, took 3.90 seconds
Epoch 32: 9104 / 10000, took 3.89 seconds
Epoch 33: 9157 / 10000, took 3.91 seconds
Epoch 34: 9189 / 10000, took 3.88 seconds
Epoch 35: 9119 / 10000, took 3.90 seconds
Epoch 36: 9170 / 10000, took 3.89 seconds
Epoch 37: 9197 / 10000, took 3.91 seconds
Epoch 38: 9199 / 10000, took 3.90 seconds
Epoch 39: 9159 / 10000, took 3.90 seconds
Epoch 40: 9161 / 10000, took 3.90 seconds
Epoch 41: 9168 / 10000, took 3.91 seconds
Epoch 42: 9170 / 10000, took 3.90 seconds
Epoch 43: 9170 / 10000, took 3.90 seconds
Epoch 44: 9181 / 10000, took 3.91 seconds
Epoch 45: 9154 / 10000, took 3.91 seconds
Epoch 46: 9125 / 10000, took 3.89 seconds
Epoch 47: 9176 / 10000, took 3.91 seconds
